Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Wymiar 4;Wymiar 5;Jednostka miary;"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody majątkowe (Wymiary: Jednostki terytorialne; Dochody majątkowe)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"";"";"";"zł";299079667,52;267329886,01;206185688,28;242188055,27;295015242,05;275073849,91;490333457,26;552688521,19;343650515,73;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody majątkowe (Wymiary: Jednostki terytorialne; Dochody majątkowe)";"gminy łącznie z miastami na prawach powiatu";"wpływy ze sprzedaży składników majątkowych";"";"";"";"zł";246485,95;290647,86;207987,33;251111,10;375266,34;3106091,80;711241,77;192730,00;554082,85;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody majątkowe (Wymiary: Jednostki terytorialne; Dochody majątkowe)";"miasta na prawach powiatu";"ogółem";"";"";"";"zł";299079667,52;267329886,01;206185688,28;242188055,27;295015242,05;275073849,91;490333457,26;552688521,19;343650515,73;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody majątkowe (Wymiary: Jednostki terytorialne; Dochody majątkowe)";"miasta na prawach powiatu";"wpływy ze sprzedaży składników majątkowych";"";"";"";"zł";246485,95;290647,86;207987,33;251111,10;375266,34;3106091,80;711241,77;192730,00;554082,85;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"";"";"";"zł";6099,34;6469,58;6896,89;7630,02;7733,72;8973,64;8995,81;9112,31;11158,34;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne";"";"";"";"zł";4011,03;4319,22;4679,43;4947,30;4752,01;5672,78;5827,82;5801,14;7502,14;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób fizycznych";"";"";"";"zł";1605,94;1799,76;2097,92;2305,30;2210,92;2521,06;2513,79;2126,30;3470,98;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób prawnych";"";"";"";"zł";135,07;139,69;184,51;213,19;215,40;273,62;284,80;434,16;537,68;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - dochody podatkowe ustalone i pobierane na podstawie odrębnych ustaw";"";"";"";"zł";794,64;842,86;892,95;915,86;888,47;1039,02;1038,15;1127,61;1279,49;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"ogółem";"";"";"";"zł";6099,34;6469,58;6896,89;7630,02;7733,72;8973,64;8995,81;9112,31;11158,34;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne";"";"";"";"zł";4011,03;4319,22;4679,43;4947,30;4752,01;5672,78;5827,82;5801,14;7502,14;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób fizycznych";"";"";"";"zł";1605,94;1799,76;2097,92;2305,30;2210,92;2521,06;2513,79;2126,30;3470,98;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób prawnych";"";"";"";"zł";135,07;139,69;184,51;213,19;215,40;273,62;284,80;434,16;537,68;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne - dochody podatkowe ustalone i pobierane na podstawie odrębnych ustaw";"";"";"";"zł";794,64;842,86;892,95;915,86;888,47;1039,02;1038,15;1127,61;1279,49;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem (Wymiary: Jednostki terytorialne; Dochody)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"";"";"";"zł";4650430144,87;4960481293,86;5307143311,36;5912034361,01;6198932720,26;7190061157,65;7221663898,52;7328457124,19;9011966848,60;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem (Wymiary: Jednostki terytorialne; Dochody)";"miasta na prawach powiatu";"ogółem";"";"";"";"zł";4650430144,87;4960481293,86;5307143311,36;5912034361,01;6198932720,26;7190061157,65;7221663898,52;7328457124,19;9011966848,60;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"";"";"";"zł";4650430144,87;4960481293,86;5307143311,36;5912034361,01;6198932720,26;7190061157,65;7221663898,52;7328457124,19;9011966848,60;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 010 - Rolnictwo i łowiectwo";"";"";"";"zł";188400,89;177857,90;171160,71;218327,79;208266,38;239851,40;245882,31;347762,81;312683,46;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 020 - Leśnictwo";"";"";"";"zł";0,00;0,00;72,18;0,00;0,00;0,00;0,00;0,00;0,00;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 600 - Transport i łączność";"";"";"";"zł";436210046,87;428317171,52;396270144,00;459964199,25;350296655,20;477955739,76;926740046,38;923400227,88;726595132,68;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 630 - Turystyka";"";"";"";"zł";0,00;0,00;0,00;0,00;0,00;111602,39;0,00;0,00;0,00;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 700 - Gospodarka mieszkaniowa";"";"";"";"zł";362469869,27;357372653,72;341168433,28;360812262,59;319254129,80;441052695,43;389771982,88;420219301,58;462590046,76;;
