Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Wymiar 4;Wymiar 5;Jednostka miary;"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody majątkowe (Wymiary: Jednostki terytorialne; Dochody majątkowe)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"";"";"";"zł";904984858,66;581277055,56;720987474,12;677080390,11;801891706,53;1012069221,86;968682625,31;1277024877,88;1302547096,03;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody majątkowe (Wymiary: Jednostki terytorialne; Dochody majątkowe)";"gminy łącznie z miastami na prawach powiatu";"wpływy ze sprzedaży składników majątkowych";"";"";"";"zł";929536,56;3381999,68;630685,28;975182,08;438072,28;1655348,78;3442795,77;1496505,73;958049,74;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody majątkowe (Wymiary: Jednostki terytorialne; Dochody majątkowe)";"miasta na prawach powiatu";"ogółem";"";"";"";"zł";904984858,66;581277055,56;720987474,12;677080390,11;801891706,53;1012069221,86;968682625,31;1277024877,88;1302547096,03;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody majątkowe (Wymiary: Jednostki terytorialne; Dochody majątkowe)";"miasta na prawach powiatu";"wpływy ze sprzedaży składników majątkowych";"";"";"";"zł";929536,56;3381999,68;630685,28;975182,08;438072,28;1655348,78;3442795,77;1496505,73;958049,74;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"";"";"";"zł";8417,92;8802,88;9609,67;10154,88;9970,89;11608,82;11626,82;11677,95;15237,97;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne";"";"";"";"zł";6308,61;6617,70;7236,69;7307,64;6774,63;7932,09;8523,09;8623,59;11139,84;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób fizycznych";"";"";"";"zł";2652,53;2867,19;3250,53;3540,60;3302,09;3726,42;3724,14;3114,84;5126,02;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób prawnych";"";"";"";"zł";352,96;412,02;512,04;546,63;545,73;553,73;732,81;1030,29;1393,41;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - dochody podatkowe ustalone i pobierane na podstawie odrębnych ustaw";"";"";"";"zł";983,63;1087,12;1082,75;1088,18;990,55;1359,00;1278,12;1385,50;1386,50;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"ogółem";"";"";"";"zł";8417,92;8802,88;9609,67;10154,88;9970,89;11608,82;11626,82;11677,95;15237,97;;
