Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Wymiar 4;Wymiar 5;Jednostka miary;"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody majątkowe (Wymiary: Jednostki terytorialne; Dochody majątkowe)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"";"";"";"zł";466682712,01;303874748,00;330495958,04;295898958,58;367869683,88;558425302,75;625950621,33;564322591,79;495639622,56;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody majątkowe (Wymiary: Jednostki terytorialne; Dochody majątkowe)";"gminy łącznie z miastami na prawach powiatu";"wpływy ze sprzedaży składników majątkowych";"";"";"";"zł";797398,45;501598,91;652732,82;1070300,41;522436,32;373343,52;1697557,70;2666230,68;5062832,32;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody majątkowe (Wymiary: Jednostki terytorialne; Dochody majątkowe)";"miasta na prawach powiatu";"ogółem";"";"";"";"zł";466682712,01;303874748,00;330495958,04;295898958,58;367869683,88;558425302,75;625950621,33;564322591,79;495639622,56;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody majątkowe (Wymiary: Jednostki terytorialne; Dochody majątkowe)";"miasta na prawach powiatu";"wpływy ze sprzedaży składników majątkowych";"";"";"";"zł";797398,45;501598,91;652732,82;1070300,41;522436,32;373343,52;1697557,70;2666230,68;5062832,32;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"";"";"";"zł";6340,06;6477,47;6971,60;7681,46;7662,14;9205,42;9121,87;9461,95;11473,80;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne";"";"";"";"zł";4458,52;4652,24;4966,37;5226,33;4878,83;6031,68;6247,25;6677,23;8035,32;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób fizycznych";"";"";"";"zł";1630,17;1803,56;2073,14;2298,03;2161,19;2501,33;2483,97;2093,85;3368,61;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób prawnych";"";"";"";"zł";165,28;159,09;180,60;205,87;206,01;253,60;273,12;425,50;492,01;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - dochody podatkowe ustalone i pobierane na podstawie odrębnych ustaw";"";"";"";"zł";794,86;840,44;916,90;905,17;860,27;961,48;1005,43;1214,17;1255,85;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"ogółem";"";"";"";"zł";6340,06;6477,47;6971,60;7681,46;7662,14;9205,42;9121,87;9461,95;11473,80;;
